Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
21-000043,2020-12,1/1/2011 2:00,Y, , ,1, ,72140,2,AUTO THEFT-TRUCK/PERM RETNT/ATTEMPT               ,2725,WATSON,11,Maplewood Plumbing,,2725,WATSON,0,0
20-057309,2020-12,1/1/2019 8:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT              ,809,CLARENDON,51,,,1520,MARKET,0,0
20-054345,2020-12,1/1/2019 12:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150                     ,4560,FAIR AVE,68, , ,4560,FAIR,899784.3,1034793
20-055184,2020-12,1/1/2020 0:01,Y, , ,1, ,21000,2,RAPE -- FORCIBLE                                  ,1700,22ND,29,,,1400,GRAND,0,0
20-054871,2020-12,1/7/2020 20:00,Y, , ,1, ,65701,5,LARCENY-MTR VEH PARTS UNDER $500                  ,0,BAYARD AVE / DR MARTIN LUTHER,53, , ,,,889532.9,1029862
20-054240,2020-12,2/1/2020 12:00,Y, , ,1, ,66601,5,"LARCENY-BICYCLES $500 - $24,999                   ",4939,CHILDRENS PL,38, , ,4939,CHILDRENS,887713.3,1021088
20-055764,2020-12,2/8/2020 14:30,Y, , ,1, ,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,6129,GOODFELLOW,73,MEDINAS GENERAL MECHANIC,,6129,GOODFELLOW,0,0
20-008492,2020-12,2/18/2020 18:30,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,4350,LABADIE,56,                                                                           ,                                                                                ,4350,LABADIE,0,0
20-058088,2020-12,2/20/2014 0:01,Y, , ,1, ,179210,4,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE          ,1400,CASS,61,,,1400,CASS,0,0
20-009293,2020-12,2/24/2020 21:38,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,4551,ADELAIDE,68,                                                                           ,                                                                                ,4551,ADELAIDE,0,0
20-009297,2020-12,2/24/2020 22:32,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,4411,HARRIS,68,                                                                           ,                                                                                ,4411,HARRIS,0,0
20-057307,2020-12,3/1/2020 13:00,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT              ,4201,WALSH,5,,,4201,WALSH,0,0
20-057665,2020-12,3/10/2020 7:00,Y, , ,1, ,71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,4928,MARDEL,14,,,4928,MARDEL,0,0
20-012178,2020-12,3/12/2020 21:30, ,Y, ,-1, ,65701,5,LARCENY-MTR VEH PARTS UNDER $500                  ,4923,FOUNTAIN,53,,,4923,FOUNTAIN,0,0
20-054913,2020-12,3/15/2020 15:00,Y, , ,1, ,67701,6,LARCENY-FROM BUILDING UNDER $500                  ,4433,GOODFELLOW BLVD,70, , ,4433,GOODFELLOW,886178.6,1040904
20-014162,2020-12,3/27/2020 18:00,Y, , ,1, ,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,6321,,3,,,,,0,0
